ogc_fid,GEOMETRY,full_id,osm_id,osm_type,amenity,contact:line,contact:instagram,opening_hours:covid19,internet_access:ssid,addr:street:en,tents,camping,payment:electronic_purses,payment:debit_cards,payment:credit_cards,diet:gluten_free,drink:juice,coffee,description:fr,lanes,internet_access:type,name:vi,name:es,organic,toilets,payment:cash,currency:thb,addr:state,addr:country,name:ru,wlan,name:uk,name:de,description:en,addr:subdistrict,addr:province,entrance,diet:vegetarian,source:opening_hours,source:name,drive_through,drink:tea,name:fr,toilets:wheelchair,contact:website,name:alt,microroasting,facebook,drink:filter_coffee,drink:espresso,addr:city:source,source:amenity,name:ja,brand:th,brand:en,diet:vegan,level,alt_name,tourism,email,contact:phone,contact:facebook,addr:postcode,addr:city,operator,alt_name:en,wifi:password,wifi,addr:street,description,shop,smoking,outdoor_seating,internet_access:fee,air_conditioning,addr:housenumber,phone,breakfast,internet_access,name:zh,opening_hours,wheelchair,website,takeaway,official_name,name:th,name:en,name,cuisine,brand:wikipedia,brand:wikidata,brand,lat,long
535,,n4139956489,4139956489,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ถนนมูลเมือง,,,,,,,,,,,,Mo-Su 09:00-17:00,,,,,,,HOM cafe,,,,,18.7937,98.99345
536,,n4142717265,4142717265,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow Duck Cafe,,,,,18.81691,99.02058
537,,n4173012792,4173012792,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,錯誤,,,,,18.76032,98.99813
538,,n4180090391,4180090391,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hohm.cafe@gmail.com,,,,,,,,,บ้านแพ ซอย 7,,,,,,,129/21 หมู่ 2,097-9234-587,,wlan,,Mo-Su 10:00-18:00,,https://m.facebook.com/hohmcafe/,,,,Hohm cafe,ฮอห์ม คาเฟ่,burger;ice_cream;cake;tea;thai;coffee_shop,,,,18.81863,98.96919
539,,n4203872790,4203872790,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banporpiang Coffee,coffee_shop,,,,19.44847,98.9831
540,,n4206128689,4206128689,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doi Luang Coffee,coffee_shop,,,,20.06035,99.36132
541,,n4206129189,4206129189,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,Mo-Su 08:00-17:00,,,,,,,Espresso - 95 Coffee,pizza;coffee_shop,,,,20.06,99.36117
542,,n4208599025,4208599025,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66966983909,,wlan,,,,,,,,,Cafe de Time,thai;coffee_shop,,,,19.62441,99.12892
543,,n4210249666,4210249666,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,Tu-Su 08:00-18:00,,,,,,,Huean Hug Coffee,coffee_shop,,,,18.80294,98.97543
544,,n4212373091,4212373091,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66816342245,,,,Mo-Su 10:00-23:00,limited,,,,,,Kalapela Tea House,,,,,18.78823,98.98653
545,,n4217131891,4217131891,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Juicery,,,,,18.78647,98.98215
546,,n4225187389,4225187389,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nine coffee,,,,,18.78995,98.9816
547,,n4225761969,4225761969,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collina,,,,,18.80597,98.99714
548,,n4248786004,4248786004,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50200,,,,,,139 หมู่ 5,,,,,,,,,,wlan,,Mo-Su 09:00-19:00,,,,,,Bisoux Café,บีซู คาเฟ่,,,,,18.77171,98.94751
549,,n4260029196,4260029196,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Café Chez Nous,,,,,19.08803,98.90256
550,,n4262547890,4262547890,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,Graveyard View,,,,,19.10784,99.04059
551,,n4265502391,4265502391,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://www.facebook.com/OmniaCafeChiangmai/,served,served,,,,,,,,,,,,,,,,,,,โพธาราม ซอย3,,,,no,no,,181/272,,,yes,,Mo-Su 08:00-17:00,,,,,,,Omnia,coffee_shop,,,,18.81367,98.97379
552,,n4265515989,4265515989,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://www.facebook.com/cottontreecnx/,served,served,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,We-Mo 08:00-16:00,,,,,,,Cottontree,coffee_shop;cake,,,,18.80428,98.96786
553,,n4281954591,4281954591,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mild,thai,,,,18.79369,98.99221
554,,n4285584789,4285584789,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake Up,,,,,18.79647,98.96579
555,,n4294806092,4294806092,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doi Chaang,coffee_shop,,,,19.74688,99.1447
556,,n4324640989,4324640989,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,Hazz cafe - Hallal (A/C),thai,,,,18.76918,99.00061
557,,n4333425791,4333425791,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ถนนห้วยแก้ว,,,,,,,49/23,,,,,,no,,,,,,Tiger TED Cafe,,,,,18.80229,98.96646
558,,n4336587591,4336587591,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ร้านแม่,,,,,18.7519,99.02992
560,,n4336604689,4336604689,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7-11 ห้าแยกสันติธรรม,,,,,18.8024,98.97834
561,,n4348232705,4348232705,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66810260386,,,,,,,,,,,,,,,,,,,,Mo-Sa 09:00-20:00; Su,,,,,,,Buff Cafe,,,,,18.72477,98.92653
562,,n4352243455,4352243455,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four Heavens Cafe & Bistro,,,,,18.8288,99.01343
563,,n4352509194,4352509194,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plum Coffee & Smoothies,,,,,18.78842,98.99857
564,,n4353673933,4353673933,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00-20:00,,,,,,Maewmoth Cat Cafe,แมวมอธ แคทคาเฟ่,,,,,18.78982,98.95594
565,,n4353683213,4353683213,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Coffee Work,,,,,18.78988,98.95689
566,,n4353876797,4353876797,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 08:00-18:00; Su 08:00-17:00,,https://www.facebook.com/pages/ฮักจักคอฟฟี่-Coffeelove/279444105766066,,,,,Coffee Love,tea;coffee_shop,,,,18.80663,98.97956
567,,n4358605082,4358605082,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inbox Coffee,,,,,18.78791,98.9626
568,,n4358611169,4358611169,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ร้านกาแฟสังคม,coffee_shop,,,,18.78971,98.95582
569,,n4358616613,4358616613,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,โตและสด,,,,,18.78975,98.9643
571,,n4358831080,4358831080,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,ร้านกาแฟสังคม,coffee_shop,,,,18.79134,98.95927
572,,n4358843115,4358843115,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,韓式炸雞,,no,,,,,,ร้านกาแฟสังคม,coffee_shop,,,,18.79122,98.95938
573,,n4359154584,4359154584,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,กูโรตี,,,,,18.80761,98.995
574,,n4359158922,4359158922,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ตี๋นมสด,,,,,18.80839,98.99551
575,,n4359739852,4359739852,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bakery,,,,,,,,,,,,,,,,,Ice Love You Cafe',ice_cream,,,,18.78898,98.96513
576,,n4360053466,4360053466,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ร้านนมมน,,,,,18.79013,98.9627
577,,n4360075278,4360075278,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,กาแฟดีนาน,,,,,18.78966,98.96481
578,,n4360094735,4360094735,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,wlan,,24/7,,,,,,,Wide-awake 24 hours,coffee,,,,18.79311,98.97242
579,,n4360106566,4360106566,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smile Milk Uniserv CMU,,,,,18.79355,98.96751
580,,n4360574586,4360574586,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00-23:00,,,,,,,D-Milk ไมโลดิบ,,,,,18.79184,98.95804
581,,n4362261291,4362261291,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,Mo-Su 06:00-20:00,,,,,ม่อน คาเฟ่,Mont Cafe,ม่อน คาเฟ่,coffee_shop;tea;breakfast,,,,19.06384,98.93941
582,,n4362621673,4362621673,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Volcano,,,,,,,The Volcano,ชาชิมิ,,,,,18.79252,98.95597
583,,n4364338694,4364338694,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,เฟื่องฟ้า คาเฟ่,Feungfah Cafe,เฟื่องฟ้า คาเฟ่,,,,,18.79052,98.99017
589,,n4413425463,4413425463,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cafe Amazon,coffee_shop,,,,18.80738,98.95705
591,,n4416236897,4416236897,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/17 & 14/16 kaewnavarat road soi 5,,,,,,,"14/17 , 14/16",,,wlan,,Mo-Su 07:00-20:00,,,,,Black coffee smile,,Black coffee smile,coffee_shop;thai,,,,18.79942,99.01695
595,,n4426152917,4426152917,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncle Lee Coffee,,,,,18.83395,99.20203
596,,n4427268749,4427268749,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake You Up,,,,,18.79933,99.02466
597,,n4427268751,4427268751,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,089-557-9313,,wlan,,Mo-Fr 08:00-20:00; Sa-Su 08:00-18:00,,https://m.facebook.com/Blue-Cafe-Chiang-mai-933362510162726/,,,,,Blue Cafe,tea;cake;american;coffee_shop,,,,18.79882,99.02449
599,,n4438545289,4438545289,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ristr8to Lab,,,,,,,,,,,,,,,https://www.facebook.com/ristr8to,served,served,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ristr8to.com/,,,Ristr8to Lab,Ristr8to Lab,Ristr8to Lab,coffee_shop,,,,18.79884,98.96864
600,,n4440847089,4440847089,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ถนนสามล้าน,,,,,,,1,,,wlan,,Mo-Su 08:00-17:00,,,,,,Taa Peng Cat,Taa Peng Cat,coffee_shop;sandwich;tea;cake,,,,18.78755,98.98253
601,,n4441486862,4441486862,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,wlan,,08:00-20:00,,,,,มมุ ละมนุคาเฟ่,,Moom la Moon Café,coffee_shop,,,,18.80269,98.98231
604,,n4446821271,4446821271,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-17:00,,,,,,,Lanna Cafe,,,,,18.85513,98.99967
605,,n4458563051,4458563051,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ลุงปุ๊ด-ป้าเป็ง,Lung Put - Pa Peng,ลุงปุ๊ด-ป้าเป็ง,,,,,18.86533,99.35069
606,,n4459082049,4459082049,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/kaomakhamcoffee,,,,,,,,,,,,,,,,66956984088,,,,,,,,,,,,,,,,,,,,,,,,,เก๊ามะขาม,Kaomakham Coffee,เก๊ามะขาม,,,,,18.41459,98.70876
607,,n4460077989,4460077989,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doi Taeng Coffee,,,,,18.82542,99.01129
609,,n4461682615,4461682615,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,wlan,,,,,,,,,Ted Du Coffee,,,,,18.86515,99.34742
615,,n4476976180,4476976180,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cafe Kantary,,,,,18.79597,98.96546
617,,n4496361990,4496361990,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Ground,,,,,18.79501,98.96545
619,,n4504644390,4504644390,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,Mo-Sa 07:00-19:00; Su 08:00-19:00,,,,,กาแฟ รสนิยม,Rotniyom Café,กาแฟ รสนิยม,,,,,18.7962,99.00823
620,,n4505551231,4505551231,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50300,Chiang Mai,,,,,Ratchaphruek Rd.,Located inside Pyur O'tel.,,,,,,,,,wlan,,Mo-Su 08:00-22:00,,,,,,,Ombra Cafe,coffee_shop,,,,18.79986,98.97462
621,,n4506585926,4506585926,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good Vibes Cafe,,,,,18.74031,98.97447
622,,n4513838300,4513838300,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inthanin Coffee,coffee_shop,,,,18.43091,98.68358
624,,n4513838582,4513838582,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cafe Klang Doi,coffee_shop,,,,18.15103,98.2451
625,,n4514610993,4514610993,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/Mixkaffee,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 10:00-15:00,,,,,,,Mix Kaffee,,,,,18.79098,98.97847
627,,n4522532754,4522532754,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gedhawa,coffee_shop,,,,18.85227,98.96699
628,,n4535975015,4535975015,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oasis Café,,,,,18.79636,98.99311
629,,n4536303338,4536303338,node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salotto Coffee,,,,,18.80028,98.99426
